Location;Latitude;Longitude;Region
Albury;-36.0651964;146.9050377;Nueva Gales del Sur
BadgerysCreek;-33.8780556;150.7029498;Nueva Gales del Sur
Cobar;-31.4974083;145.8027078;Nueva Gales del Sur
CoffsHarbour;-30.308223;153.0249454;Nueva Gales del Sur
Moree;-29.3024575;149.117781;Nueva Gales del Sur
Newcastle;-32.9762667;151.5248873;Nueva Gales del Sur
NorahHead;-33.2837136;151.5454238;Nueva Gales del Sur
NorfolkIsland;-29.0327453;167.9131925;Norfolk Island
Penrith;-33.7448115;150.6689405;Nueva Gales del Sur
Richmond;-33.6057002;150.7174735;Nueva Gales del Sur
Sydney;-33.8472348;150.6023135;Nueva Gales del Sur
SydneyAirport;-33.9482332;151.1751091;Nueva Gales del Sur
WaggaWagga;-35.1379139;147.281635;Nueva Gales del Sur
Williamtown;-32.8132359;151.8252609;Nueva Gales del Sur
Wollongong;-34.4282155;150.8724589;Nueva Gales del Sur
Canberra;-35.312972;148.8001228;Territorio de la Capital Australiana
Tuggeranong;-35.4763001;148.9203852;Territorio de la Capital Australiana
MountGinini;-35.5293473;148.751679;Territorio de la Capital Australiana
Ballarat;-37.5670653;143.687929;Victoria
Bendigo;-36.7367697;144.1175124;Victoria
Sale;-38.1059389;146.9882818;Victoria
MelbourneAirport;-37.6717149;144.8384926;Victoria
Melbourne;-37.9696427;144.3936883;Victoria
Mildura;-34.2105714;142.0512023;Victoria
Nhil;-36.3059772;141.4164664;Victoria
Portland;-38.3633795;141.5260896;Victoria
Watsonia;-37.710049;145.0797389;Victoria
Dartmoor;-37.9216649;141.2744233;Victoria
Brisbane;-27.4654193;152.9943387;Queensland
Cairns;-16.915521;145.7488414;Queensland
GoldCoast;-27.9839437;153.3582121;Queensland
Townsville;-19.2548117;146.7920187;Queensland
Adelaide;-34.9978583;137.9516991;South Australia
MountGambier;-37.8262473;140.7394445;South Australia
Nuriootpa;-34.4620905;138.9080473;South Australia
Woomera;-31.1946556;136.8011564;South Australia
Albany;-35.0280454;117.8762112;Western Australia
Witchcliffe;-34.0131036;115.0295087;Western Australia
PearceRAAF;-31.6675792;116.026668;Western Australia
PerthAirport;-31.939183;115.957539;Western Australia
Perth;-31.9532945;115.7591937;Western Australia
SalmonGums;-32.8179064;121.3755401;Western Australia
Walpole;-34.9770352;116.7299338;Western Australia
Hobart;-42.8823069;147.3079567;Tasmania
Launceston;-41.433349;147.1233229;Tasmania
AliceSprings;-23.6993219;133.8777724;Northern Australia
Darwin;-12.4533019;130.8422073;Northern Australia
Katherine;-14.4519758;132.2494323;Northern Australia
Uluru;-25.3449217;131.0286858;Northern Australia
